bldgid,energy_GJ,gas_GJ
10231,23.9999999999999,23.9999999999999
10250,2806692.91830735,2658152.7406609
10279,23.9999999999998,23.9999999999998
104,23.9999999999999,23.9999999999999
10858,449663.59813144704,33113.28262147
110,24.0,24.0
11581,23.9999999999998,23.9999999999998
11586,23.9999999999998,23.9999999999998
11606,23.9999999999998,23.9999999999998
11851,24.0,24.0
121,23.9999999999999,23.9999999999999
124,23.9999999999999,23.9999999999999
125,67742.2018194393,11824.015832423602
13202,2980980.37241339,2115677.69087174
13206,10170003.417655,7972800.89732682
13255,23.9999999999998,23.9999999999998
1498,23.9999999999998,23.9999999999998
1534,2662067.20694615,500095.057084741
1574,2093844.85965857,365151.665853936
1580,1969126.39898668,445797.20433057204
1586,23.9999999999998,23.9999999999998
15948,6685262.27763844,5709934.66577603
15979,7352660.92518251,6572392.63942997
15983,23.9999999999998,23.9999999999998
1609,3086652.51172317,572412.626420125
173,643445.5013579039,107264.50189708901
220,1299323.99269109,239356.757234664
2248,24.0,24.0
305,23.9999999999998,23.9999999999998
323,299398.67614363803,64391.50587749611
3296,23.9999999999999,23.9999999999999
329702,12583554.309757,10739195.2927288
3375,889488.0840818259,154595.636766744
3416,24.0,24.0
3421,7238271.76799075,1195426.05582429
3500,432321.959320653,65325.984418602995
3713,564047.550710553,77971.42976521401
419,23.9999999999998,23.9999999999998
45,24.0,24.0
48,24.0,24.0
49,904294.3439685571,167356.682964237
5152,24.0,24.0
5153,24.0,24.0
5160,4347186.98421592,778246.32749858
5178,23.9999999999998,23.9999999999998
5187,24.0,24.0
51,24.0,24.0
53,24.0,24.0
59,30989.620935452098,1859.9737623740198
657,24.0,24.0
661,23.9999999999998,23.9999999999998
665,6543221.75103777,1039346.6348427
668,23.9999999999998,23.9999999999998
671,24.0,24.0
675,1514836.87836069,279483.761045407
7297,23.9999999999999,23.9999999999999
72,24.0,24.0
7319,5063365.30699021,4515429.25264556
7336,23.9999999999999,23.9999999999999
75,24.0,24.0
76,24.0,24.0
77,24.0,24.0
78,929489.52207248,172630.39404410802
79,23.9999999999999,23.9999999999999
8117,1912803.17770879,1470002.72800264
82,23.9999999999998,23.9999999999998
8340,446197.22375804704,21679.4694296206
84,24.0,24.0
8547,478265.71133951104,27728.5278081033
85,24.0,24.0
87,24.0,24.0
9307,23.9999999999998,23.9999999999998
9325,23.9999999999998,23.9999999999998
9923,7471656.5761197,5843545.04100677
998,1318880.59517846,244076.48675805397
